date;open;high;low;close;adjclose;volume;ticker
08/12/2023;194.1999969482422;195.99000549316406;193.6699981689453;195.7100067138672;195.7100067138672;53377300;AAPL
11/12/2023;193.11000061035156;193.49000549316406;191.4199981689453;193.17999267578125;193.17999267578125;60943700;AAPL
12/12/2023;193.0800018310547;194.72000122070312;191.72000122070312;194.7100067138672;194.7100067138672;52696900;AAPL
13/12/2023;195.08999633789062;198.0;194.85000610351562;197.9600067138672;197.9600067138672;70404200;AAPL
14/12/2023;198.02000427246094;199.6199951171875;196.16000366210938;198.11000061035156;198.11000061035156;66831600;AAPL
15/12/2023;197.52999877929688;198.39999389648438;197.0;197.57000732421875;197.57000732421875;128256700;AAPL
18/12/2023;196.08999633789062;196.6300048828125;194.38999938964844;195.88999938964844;195.88999938964844;55751900;AAPL
19/12/2023;196.16000366210938;196.9499969482422;195.88999938964844;196.94000244140625;196.94000244140625;40714100;AAPL
20/12/2023;196.89999389648438;197.67999267578125;194.8300018310547;194.8300018310547;194.8300018310547;52242800;AAPL
21/12/2023;196.10000610351562;197.0800018310547;193.5;194.67999267578125;194.67999267578125;46482500;AAPL
22/12/2023;195.17999267578125;195.41000366210938;192.97000122070312;193.60000610351562;193.60000610351562;37122800;AAPL
26/12/2023;193.61000061035156;193.88999938964844;192.8300018310547;193.0500030517578;193.0500030517578;28919300;AAPL
27/12/2023;192.49000549316406;193.5;191.08999633789062;193.14999389648438;193.14999389648438;48087700;AAPL
28/12/2023;194.13999938964844;194.66000366210938;193.1699981689453;193.5800018310547;193.5800018310547;34049900;AAPL
29/12/2023;193.89999389648438;194.39999389648438;191.72999572753906;192.52999877929688;192.52999877929688;42628800;AAPL
02/01/2024;187.14999389648438;188.44000244140625;183.88999938964844;185.63999938964844;185.63999938964844;82488700;AAPL
03/01/2024;184.22000122070312;185.8800048828125;183.42999267578125;184.25;184.25;58414500;AAPL
04/01/2024;182.14999389648438;183.08999633789062;180.8800048828125;181.91000366210938;181.91000366210938;71983600;AAPL
05/01/2024;181.99000549316406;182.75999450683594;180.1699981689453;181.17999267578125;181.17999267578125;62303300;AAPL
08/12/2023;369.20001220703125;374.4599914550781;368.2300109863281;374.2300109863281;374.2300109863281;20144800;MSFT
11/12/2023;368.4800109863281;371.6000061035156;366.1000061035156;371.29998779296875;371.29998779296875;27708800;MSFT
12/12/2023;370.8500061035156;374.4200134277344;370.4599914550781;374.3800048828125;374.3800048828125;24838300;MSFT
13/12/2023;376.0199890136719;377.6400146484375;370.7699890136719;374.3699951171875;374.3699951171875;30955500;MSFT
14/12/2023;373.30999755859375;373.760009765625;364.1300048828125;365.92999267578125;365.92999267578125;43277500;MSFT
15/12/2023;366.8500061035156;372.3999938964844;366.2799987792969;370.7300109863281;370.7300109863281;78478200;MSFT
18/12/2023;369.45001220703125;373.0;368.67999267578125;372.6499938964844;372.6499938964844;21802900;MSFT
19/12/2023;371.489990234375;373.260009765625;369.8399963378906;373.260009765625;373.260009765625;20603700;MSFT
20/12/2023;375.0;376.0299987792969;370.5299987792969;370.6199951171875;370.6199951171875;26316700;MSFT
21/12/2023;372.55999755859375;374.4100036621094;370.0400085449219;373.5400085449219;373.5400085449219;17708000;MSFT
22/12/2023;373.67999267578125;375.17999267578125;372.7099914550781;374.5799865722656;374.5799865722656;17091100;MSFT
26/12/2023;375.0;376.94000244140625;373.5;374.6600036621094;374.6600036621094;12673100;MSFT
27/12/2023;373.69000244140625;375.05999755859375;372.80999755859375;374.07000732421875;374.07000732421875;14905400;MSFT
28/12/2023;375.3699951171875;376.4599914550781;374.1600036621094;375.2799987792969;375.2799987792969;14327000;MSFT
29/12/2023;376.0;377.1600036621094;373.4800109863281;376.0400085449219;376.0400085449219;18723000;MSFT
02/01/2024;373.8599853515625;375.8999938964844;366.7699890136719;370.8699951171875;370.8699951171875;25258600;MSFT
03/01/2024;369.010009765625;373.260009765625;368.510009765625;370.6000061035156;370.6000061035156;23083500;MSFT
04/01/2024;370.6700134277344;373.1000061035156;367.1700134277344;367.94000244140625;367.94000244140625;20901500;MSFT
05/01/2024;368.9700012207031;372.05999755859375;366.5;367.75;367.75;20987000;MSFT
08/12/2023;135.66000366210938;137.99000549316406;135.57000732421875;136.63999938964844;136.63999938964844;22990900;GOOG
11/12/2023;133.82000732421875;134.7899932861328;132.88999938964844;134.6999969482422;134.6999969482422;24502900;GOOG
12/12/2023;133.27000427246094;134.5399932861328;132.8300018310547;133.63999938964844;133.63999938964844;26584000;GOOG
13/12/2023;134.5449981689453;134.77999877929688;132.9499969482422;133.97000122070312;133.97000122070312;25414500;GOOG
14/12/2023;134.77000427246094;135.03500366210938;131.05999755859375;133.1999969482422;133.1999969482422;29619100;GOOG
15/12/2023;132.9199981689453;134.8300018310547;132.6300048828125;133.83999633789062;133.83999633789062;58569400;GOOG
18/12/2023;133.86000061035156;138.3800048828125;133.77000427246094;137.19000244140625;137.19000244140625;25699800;GOOG
19/12/2023;138.0;138.77000427246094;137.4499969482422;138.10000610351562;138.10000610351562;20661000;GOOG
20/12/2023;140.3300018310547;143.0780029296875;139.41000366210938;139.66000366210938;139.66000366210938;33507300;GOOG
21/12/2023;140.77000427246094;142.02999877929688;140.47300720214844;141.8000030517578;141.8000030517578;18101500;GOOG
22/12/2023;142.1300048828125;143.25;142.05499267578125;142.72000122070312;142.72000122070312;18494700;GOOG
26/12/2023;142.97999572753906;143.94500732421875;142.5;142.82000732421875;142.82000732421875;11170100;GOOG
27/12/2023;142.8300018310547;143.32000732421875;141.05099487304688;141.44000244140625;141.44000244140625;17288400;GOOG
28/12/2023;141.85000610351562;142.27000427246094;140.8280029296875;141.27999877929688;141.27999877929688;12192500;GOOG
29/12/2023;140.67999267578125;141.43499755859375;139.89999389648438;140.92999267578125;140.92999267578125;14872700;GOOG
02/01/2024;139.60000610351562;140.61500549316406;137.74000549316406;139.55999755859375;139.55999755859375;20071900;GOOG
03/01/2024;138.60000610351562;141.08999633789062;138.42999267578125;140.36000061035156;140.36000061035156;18974300;GOOG
04/01/2024;139.85000610351562;140.63499450683594;138.00999450683594;138.0399932861328;138.0399932861328;18253300;GOOG
05/01/2024;138.3520050048828;138.80999755859375;136.85000610351562;137.38999938964844;137.38999938964844;15433200;GOOG
08/12/2023;134.1999969482422;136.39999389648438;134.02999877929688;134.99000549316406;134.99000549316406;32233900;GOOGL
11/12/2023;132.3800048828125;133.33999633789062;131.36000061035156;133.2899932861328;133.2899932861328;31138000;GOOGL
12/12/2023;131.80999755859375;133.0;131.25999450683594;132.52000427246094;132.52000427246094;29032800;GOOGL
13/12/2023;133.3800048828125;133.5;131.57000732421875;132.57000732421875;132.57000732421875;30104800;GOOGL
14/12/2023;133.3800048828125;133.72000122070312;129.69000244140625;131.94000244140625;131.94000244140625;38722400;GOOGL
15/12/2023;131.6199951171875;133.50999450683594;131.17999267578125;132.60000610351562;132.60000610351562;50815200;GOOGL
18/12/2023;132.6300048828125;137.14999389648438;132.42999267578125;135.8000030517578;135.8000030517578;32258000;GOOGL
19/12/2023;136.83999633789062;137.47000122070312;136.0800018310547;136.64999389648438;136.64999389648438;25476800;GOOGL
20/12/2023;138.97000122070312;141.6999969482422;138.07000732421875;138.33999633789062;138.33999633789062;49107200;GOOGL
21/12/2023;139.49000549316406;140.69000244140625;139.17999267578125;140.4199981689453;140.4199981689453;27488300;GOOGL
22/12/2023;140.77000427246094;141.99000549316406;140.7100067138672;141.49000549316406;141.49000549316406;26514600;GOOGL
26/12/2023;141.58999633789062;142.67999267578125;141.19000244140625;141.52000427246094;141.52000427246094;16780300;GOOGL
